image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Segala_Mba_1911,0.07144296169281,0.0797579586505889,0.008314996957778903
ntl_chip_Gayeri_765,0.0616016536951065,0.0685108751058578,0.006909221410751294
ntl_chip_Akpassi_785,0.052658125758171,0.0580221600830554,0.005364034324884401
ntl_chip_Datori_784,0.046511348336935,0.0521501936018466,0.005638845264911596
ntl_chip_Takieta_1998,0.0446799993515014,0.0500511080026626,0.005371108651161201
ntl_chip_Cadale_282,0.0425193235278129,0.046844732016325,0.004325408488512095
ntl_chip_Dadukou_1109,0.0402389913797378,0.0460739769041538,0.0058349855244160045
ntl_chip_Mao_305,0.0401694886386394,0.0441858805716037,0.004016391932964297
ntl_chip_Bilenke_394,0.0369297824800014,0.0416650064289569,0.004735223948955501
ntl_chip_Sablayan_95,0.03626149892807,0.040482610464096,0.004221111536026001
