method,rmse_mean,rmse_median,rmse_std,mae_mean,mae_median,mae_std,bias_mean,bias_median,bias_std,r2_mean,r2_median,r2_std,pearson_mean,pearson_median,pearson_std
bicubic,0.030905660150962105,0.02883006725460285,0.014043979255397897,0.019738321425393175,0.0178468264639377,0.010728147185960442,5.578987570514819e-06,1.072732629836537e-06,5.759196838406075e-05,0.856179533302784,0.9176565706729889,0.13927867920731204,0.9142446631193161,0.9583150148391724,0.12058864457359028
learned,0.025052778726676425,0.0227150507271289,0.013080241714695512,0.016484523276885692,0.014181293081492151,0.00967573026741669,-0.0005580008918240944,-0.00040370834176425,0.0007343557135809065,-108052714.6328537,0.9494122564792634,1077808843.6743264,0.9351859518885612,0.974560409784317,0.11371494077281268
