image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,-10805271552.0,1.0,-10805271553.0
ntl_chip_Polyarnyye_Zori_195,-10805271552.0,1.0,-10805271553.0
ntl_chip_Inongo_1007,0.5269037485122681,0.4356152415275574,0.0912885069847107
ntl_chip_Denan_1346,0.5383365154266357,0.4363309741020202,0.10200554132461553
ntl_chip_Bedourie_725,0.5385963916778564,0.4336401224136352,0.10495626926422125
ntl_chip_Mao_305,0.571697473526001,0.4818446636199951,0.08985280990600586
ntl_chip_Ilaka_Atsinanana_1876,0.5847609043121338,0.4890699982643127,0.0956909060478211
ntl_chip_Akpassi_785,0.5871844291687012,0.5030437707901001,0.08414065837860107
ntl_chip_Cadale_282,0.589165210723877,0.5053452253341675,0.08381998538970947
ntl_chip_Fotadrevo_1891,0.5901058912277222,0.4688250422477722,0.12128084897994995
