image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Funadhoo_1926,0.8114473819732666,0.6669320464134216,0.14451533555984497
ntl_chip_Eydhafushi_1927,0.77149498462677,0.6317951679229736,0.1396998167037964
ntl_chip_Fotadrevo_1891,0.5901058912277222,0.4688250422477722,0.12128084897994995
ntl_chip_Tumby_Bay_730,0.7392823696136475,0.62701416015625,0.11226820945739746
ntl_chip_Bedourie_725,0.5385963916778564,0.4336401224136352,0.10495626926422125
ntl_chip_Ambohidanerana_1862,0.6998149156570435,0.5954338312149048,0.10438108444213867
ntl_chip_Denan_1346,0.5383365154266357,0.4363309741020202,0.10200554132461553
ntl_chip_Tissint_1831,0.6564742922782898,0.55482017993927,0.10165411233901978
ntl_chip_Bilenke_394,0.6126701831817627,0.511925220489502,0.10074496269226074
ntl_chip_Radyvyliv_395,0.823081374168396,0.7226568460464478,0.10042452812194824
