image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,-10805271552.0,1.0,-10805271553.0
ntl_chip_Polyarnyye_Zori_195,-10805271552.0,1.0,-10805271553.0
ntl_chip_Cantonment_108,0.9905542731285096,0.9841966032981871,0.006357669830322488
ntl_chip_Itaperucu_907,0.9886435270309448,0.9805731773376464,0.00807034969329845
ntl_chip_Noblesville_573,0.9870356917381288,0.977496325969696,0.009539365768432728
ntl_chip_Ciudad_del_Plata_608,0.9873855710029602,0.9771184921264648,0.010267078876495361
ntl_chip_Cherutana_Tekku_1508,0.9757290482521056,0.9643931984901428,0.01133584976196278
ntl_chip_Gaoping_1131,0.9863117337226868,0.9749405980110168,0.011371135711669922
ntl_chip_Shuinancun_1050,0.979985773563385,0.968582570552826,0.011403203010558971
ntl_chip_Granadero_Baigorria_705,0.987030565738678,0.9753134250640868,0.011717140674591175
