image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Cantonment_108,0.9905542731285096,0.9841966032981871,0.006357669830322488
ntl_chip_Itaperucu_907,0.9886435270309448,0.9805731773376464,0.00807034969329845
ntl_chip_Ciudad_del_Plata_608,0.9873855710029602,0.9771184921264648,0.010267078876495361
ntl_chip_Noblesville_573,0.9870356917381288,0.977496325969696,0.009539365768432728
ntl_chip_Granadero_Baigorria_705,0.987030565738678,0.9753134250640868,0.011717140674591175
ntl_chip_Johnston_542,0.9866052865982056,0.9748756885528564,0.011729598045349121
ntl_chip_Gaoping_1131,0.9863117337226868,0.9749405980110168,0.011371135711669922
ntl_chip_Nava_1965,0.98616760969162,0.9732261896133424,0.012941420078277588
ntl_chip_Pataskala_518,0.98588889837265,0.9738826751708984,0.012006223201751598
ntl_chip_Cadiz_1339,0.9858505725860596,0.9716424942016602,0.014208078384399414
