image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Segala_Mba_1911,0.6158224940299988,0.4567113518714905,0.1591111421585083
ntl_chip_Gayeri_765,0.6157919764518738,0.4614483714103699,0.1543436050415039
ntl_chip_Datori_784,0.6608116626739502,0.5117056965827942,0.149105966091156
ntl_chip_Bilenke_394,0.7215939164161682,0.5742181539535522,0.14737576246261597
ntl_chip_Cadale_282,0.657365620136261,0.5114302039146423,0.14593541622161865
ntl_chip_Akpassi_785,0.6410674452781677,0.4989906251430511,0.14207682013511663
ntl_chip_Takieta_1998,0.6715824604034424,0.5295098423957825,0.1420726180076599
ntl_chip_Mao_305,0.6472580432891846,0.5074628591537476,0.139795184135437
ntl_chip_Bedourie_725,0.687849760055542,0.5595568418502808,0.12829291820526123
ntl_chip_Sablayan_95,0.6867048740386963,0.5597847700119019,0.12692010402679443
