image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Polyarnyye_Zori_195,0.9985860586166382,0.999988615512848,-0.0014025568962098278
ntl_chip_Savissivik_1422,0.9985860586166382,0.999988615512848,-0.0014025568962098278
ntl_chip_Krasnoarmeysk_217,0.9708818793296814,0.9579483866691588,0.012933492660522572
ntl_chip_Ziyodin_Shaharchasi_611,0.965034008026123,0.9382799863815308,0.026754021644592285
ntl_chip_Nava_1965,0.9636889100074768,0.9441876411437988,0.01950126886367798
ntl_chip_Douar_Ras_el_Ksar_1834,0.9589673280715942,0.9441689252853394,0.014798402786254883
ntl_chip_Cadiz_1339,0.9587897658348083,0.9305464625358582,0.028243303298950195
ntl_chip_Barstow_530,0.957275688648224,0.936089277267456,0.021186411380767933
ntl_chip_Astrakhan_239,0.9568182229995728,0.9200336933135986,0.03678452968597412
ntl_chip_Hyeres_1392,0.9549646377563475,0.9199692606925964,0.03499537706375111
