image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,0.0,0.0,0.0
ntl_chip_Polyarnyye_Zori_195,0.0,0.0,0.0
ntl_chip_Cantonment_108,0.9953988194465636,0.9921429753303528,0.0032558441162108265
ntl_chip_Itaperucu_907,0.9943453669548036,0.990308940410614,0.004036426544189564
ntl_chip_Noblesville_573,0.9935670495033264,0.9887969493865968,0.004770100116729625
ntl_chip_Ciudad_del_Plata_608,0.9937132000923156,0.9886230826377868,0.005090117454528809
ntl_chip_Shuinancun_1050,0.9899996519088744,0.984384536743164,0.005615115165710449
ntl_chip_Gaoping_1131,0.9931799173355104,0.987563967704773,0.005615949630737416
ntl_chip_Cherutana_Tekku_1508,0.9878759384155272,0.9821986556053162,0.005677282810211071
ntl_chip_Granadero_Baigorria_705,0.9935436844825744,0.9878329634666444,0.005710721015929954
