image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Eydhafushi_1927,0.8786073923110962,0.8081485629081726,0.07045882940292358
ntl_chip_Funadhoo_1926,0.9010117650032043,0.8308095335960388,0.07020223140716553
ntl_chip_Fotadrevo_1891,0.7684547305107117,0.7012097239494324,0.0672450065612793
ntl_chip_Bedourie_725,0.7350876331329346,0.672383189201355,0.06270444393157959
ntl_chip_Denan_1346,0.7350736260414124,0.6751811504364014,0.059892475605010986
ntl_chip_Tumby_Bay_730,0.8600486516952515,0.8018903732299805,0.058158278465270996
ntl_chip_Bilenke_394,0.78485506772995,0.7278629541397095,0.05699211359024048
ntl_chip_Ilaka_Atsinanana_1876,0.7650163769721985,0.7088358402252197,0.05618053674697876
ntl_chip_Inongo_1007,0.726091742515564,0.6708410978317261,0.05525064468383789
ntl_chip_Solon_1060,0.8355924487113953,0.781302273273468,0.054290175437927246
