image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,0.0,0.0,0.0
ntl_chip_Polyarnyye_Zori_195,0.0,0.0,0.0
ntl_chip_Inongo_1007,0.726091742515564,0.6708410978317261,0.05525064468383789
ntl_chip_Denan_1346,0.7350736260414124,0.6751811504364014,0.059892475605010986
ntl_chip_Bedourie_725,0.7350876331329346,0.672383189201355,0.06270444393157959
ntl_chip_Mao_305,0.7563595771789551,0.7025899887084961,0.053769588470458984
ntl_chip_Ilaka_Atsinanana_1876,0.7650163769721985,0.7088358402252197,0.05618053674697876
ntl_chip_Akpassi_785,0.7666653394699097,0.7170436978340149,0.049621641635894775
ntl_chip_Fotadrevo_1891,0.7684547305107117,0.7012097239494324,0.0672450065612793
ntl_chip_Cadale_282,0.7686672806739807,0.7174889445304871,0.05117833614349365
