image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Cantonment_108,0.9953988194465636,0.9921429753303528,0.0032558441162108265
ntl_chip_Itaperucu_907,0.9943453669548036,0.990308940410614,0.004036426544189564
ntl_chip_Ciudad_del_Plata_608,0.9937132000923156,0.9886230826377868,0.005090117454528809
ntl_chip_Noblesville_573,0.9935670495033264,0.9887969493865968,0.004770100116729625
ntl_chip_Granadero_Baigorria_705,0.9935436844825744,0.9878329634666444,0.005710721015929954
ntl_chip_Johnston_542,0.9933239817619324,0.9875098466873168,0.0058141350746155895
ntl_chip_Gaoping_1131,0.9931799173355104,0.987563967704773,0.005615949630737416
ntl_chip_Nava_1965,0.9931448698043824,0.9868361353874208,0.00630873441696167
ntl_chip_Pataskala_518,0.9929949641227722,0.9870267510414124,0.005968213081359863
ntl_chip_Cadiz_1339,0.992965042591095,0.9861494898796082,0.006815552711486816
