metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,0.6905915327319678,1.0,0.9608774925954343,0.4485407999255981,0.30687865212529225,0.3070106555243797
ssim,0.6905915327319678,1.0,0.6905915327319678,0.8008953730558562,0.19207469592342002,0.7170447139013829,0.7175127259526933
rmse,1.0,0.6905915327319678,1.0,0.9608774925954343,0.4485407999255981,0.30687865212529225,0.3070106555243797
mae,0.9608774925954343,0.8008953730558562,0.9608774925954343,1.0,0.4858077595498084,0.38683071089080545,0.38704821649157467
bias,0.4485407999255981,0.19207469592342002,0.4485407999255981,0.4858077595498084,1.0,-0.11992883816758282,-0.120435851223169
r2,0.30687865212529225,0.7170447139013829,0.30687865212529225,0.38683071089080545,-0.11992883816758282,1.0,0.9999774994206101
pearson,0.3070106555243797,0.7175127259526933,0.3070106555243797,0.38704821649157467,-0.120435851223169,0.9999774994206101,1.0
