method,metric,direction,mean,median,std,min,max,n
bicubic,psnr,higher,31.29502700805664,30.803091049194336,5.957727677074091,19.77152442932129,80.0,200
bicubic,ssim,higher,0.820861614793539,0.8572751581668854,0.10863712411932579,0.4567113518714905,0.999988615512848,200
bicubic,rmse,lower,0.030905660150962105,0.02883006725460285,0.014043979255397897,9.999999974752427e-07,0.1026652604341507,200
bicubic,mae,lower,0.019738321425393175,0.0178468264639377,0.010728147185960442,0.0,0.0797579586505889,200
bicubic,bias,zero,5.578987570514819e-06,1.072732629836537e-06,5.759196838406075e-05,-0.0001813233393477,0.0004259785928297,200
bicubic,r2,higher,0.856179533302784,0.9176565706729889,0.13927867920731204,0.4336401224136352,1.0,200
bicubic,pearson,higher,0.9142446631193161,0.9583150148391724,0.12058864457359028,0.0,0.9921429753303528,200
learned,psnr,higher,33.08138000488281,32.87364387512207,4.676676111411093,20.63548851013184,61.74248504638672,200
learned,ssim,higher,0.8785882675647736,0.9139525294303894,0.08060541147251495,0.6157919764518738,0.9985860586166382,200
learned,rmse,lower,0.025052778726676425,0.0227150507271289,0.013080241714695512,0.0008120975689962,0.0929448455572128,200
learned,mae,lower,0.016484523276885692,0.014181293081492151,0.00967573026741669,0.0002327276015421,0.07144296169281,200
learned,bias,zero,-0.0005580008918240944,-0.00040370834176425,0.0007343557135809065,-0.0043570385314524,0.0006960273021832,200
learned,r2,higher,-108052714.6328537,0.9494122564792634,1077808843.6743264,-10805271552.0,0.9905542731285096,200
learned,pearson,higher,0.9351859518885612,0.974560409784317,0.11371494077281268,0.0,0.9953988194465636,200
