image_id,method,psnr,ssim,rmse,mae,bias,r2,pearson,psnr_norm,ssim_norm,rmse_norm,mae_norm,bias_norm,r2_norm,pearson_norm
ntl_chip_Akpassi_785,learned,22.891939163208008,0.6410674452781677,0.0716807767748832,0.052658125758171,-0.0020833958406001,0.5871844291687012,0.7666653394699097,0.05180962500412087,0.3393407119065068,0.30180399223876275,0.3397759088988145,0.5218321285064218,0.999999999961795,0.7702092111141657
ntl_chip_Al_Mukalla_639,learned,36.1128044128418,0.9313996434211732,0.0156441126018762,0.0095328260213136,1.668540789978579e-06,0.9725674390792848,0.9862520098686218,0.2713214941717038,0.8737495995471043,0.8476284489292951,0.8804780590852896,0.9996170470428632,0.9999999999974611,0.9908109097587363
ntl_chip_Albuquerque_589,learned,32.61017608642578,0.9452239274978638,0.0234146304428577,0.0130576314404606,-0.000778026995249,0.985457956790924,0.9927574992179872,0.21316580795803486,0.8991956931016776,0.7719398129022976,0.8362842823289312,0.8214321517625762,0.9999999999986542,0.9973464704026422
ntl_chip_Alfter_1247,learned,32.07966232299805,0.923393487930298,0.024889338761568,0.0173825435340404,-0.0009743463015183,0.9697721004486084,0.9848344326019288,0.20435745346456655,0.8590128232697144,0.7575754341742578,0.7820588211116152,0.7763741829490992,0.9999999999972025,0.9893867798130316
ntl_chip_Ambatomarina_1864,learned,30.708818435668945,0.7629777789115906,0.0291444975882768,0.0209368616342544,-8.853249164531007e-05,0.6577522158622742,0.8111454844474792,0.1815967265104134,0.5637387160053889,0.7161281105514672,0.7374950163158444,0.9796805809711767,0.9999999999683259,0.8148949633057349
ntl_chip_Ambohidanerana_1862,learned,32.8795280456543,0.787412703037262,0.0226996671408414,0.0173236783593893,0.0001901065115816,0.6998149156570435,0.8367577195167542,0.21763797758670875,0.6087156104218687,0.7789039043883983,0.7827968687703946,0.9563679526335911,0.9999999999722187,0.8406255896324921
ntl_chip_Andribavontsona_1854,learned,35.11188888549805,0.8329848647117615,0.0175549071282148,0.0135829159989953,-0.0001526490668766,0.6890410780906677,0.8302417993545532,0.25470285128127956,0.6925994110599603,0.8290163777152415,0.8296982993446385,0.964964949064677,0.9999999999712216,0.8340795499598475
ntl_chip_Anosiala_1888,learned,33.75768280029297,0.8756658434867859,0.0205168481916189,0.0134974485263228,0.0001420437911292,0.9685382843017578,0.984182357788086,0.23221836910945529,0.7711614669960984,0.8001656262377708,0.8307698848530756,0.9673990050572607,0.9999999999970883,0.988731690816437
ntl_chip_Ansfelden_721,learned,33.514801025390625,0.9381465315818788,0.0210986640304327,0.0123597960919141,-0.0002890905598178,0.9682592749595642,0.9840763807296752,0.22818569565058086,0.8861684666932904,0.7944984560233905,0.8450336956834483,0.9336497582633421,0.9999999999970626,0.988625223884449
ntl_chip_Aragarcas_885,learned,38.18100738525391,0.9308086037635804,0.0123292123898863,0.0080770412459969,0.0005190911469981,0.9772113561630248,0.9886137247085572,0.30566078223794513,0.8726616842280804,0.8799171947690999,0.8987305921233322,0.8808614743131356,0.9999999999978909,0.9931835415057265
