method,psnr_norm_mean,psnr_norm_median,ssim_norm_mean,ssim_norm_median,rmse_norm_mean,rmse_norm_median,mae_norm_mean,mae_norm_median,bias_norm_mean,bias_norm_median,r2_norm_mean,r2_norm_median,pearson_norm_mean,pearson_norm_median
bicubic,0.19132980653333004,0.18316197637988355,0.670284378332536,0.7373100865855958,0.6989735276884769,0.7191908154532924,0.7525222340272694,0.7762376725045993,0.9915479753968225,0.9944708412991311,0.9999999999866896,0.9999999999923792,0.9184707127014992,0.962744777386807
learned,0.22098941488137577,0.21754028010264537,0.776540716733884,0.8416350327164528,0.7559834491502848,0.7787540607502865,0.7933181395840053,0.8221958871387509,0.8455399693911764,0.8894564267476086,0.9899999999904813,0.9999999999953182,0.9395088015158783,0.979065265846073
