metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,0.6906480910152232,-0.8485979981203187,-0.8122660437582713,0.5329851925492649,-0.6174851245121297,-0.29625720687243473
ssim,0.6906480910152232,1.0,-0.7993092537155746,-0.8659868770817833,0.38149675464757676,-0.14999608171241235,0.33770072842392984
rmse,-0.8485979981203187,-0.7993092537155746,1.0,0.9714473729081814,-0.5350092429982181,0.18672390095510516,-0.13853329860655578
mae,-0.8122660437582713,-0.8659868770817833,0.9714473729081814,1.0,-0.5787789567822739,0.16923432860361398,-0.19110352291172422
bias,0.5329851925492649,0.38149675464757676,-0.5350092429982181,-0.5787789567822739,1.0,-0.10849051546262743,0.017402310535052676
r2,-0.6174851245121297,-0.14999608171241235,0.18672390095510516,0.16923432860361398,-0.10849051546262743,1.0,0.8286121692877937
pearson,-0.29625720687243473,0.33770072842392984,-0.13853329860655578,-0.19110352291172422,0.017402310535052676,0.8286121692877937,1.0
