metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,-0.008444887520496923,0.456295487781352,0.24642907034848618,0.009892301412853799,0.9425374088288555,-0.04202946345432235
ssim,-0.008444887520496923,1.0,0.22948760707833146,0.6074389032474783,-0.4882229280588673,0.19444494677696952,0.5004318155969666
rmse,0.456295487781352,0.22948760707833146,1.0,0.839962940773222,-0.1923508273006653,0.2854023087281044,-0.22678891961768585
mae,0.24642907034848618,0.6074389032474783,0.839962940773222,1.0,-0.46678776530323174,0.22391425943062648,-0.08087721849686573
bias,0.009892301412853799,-0.4882229280588673,-0.1923508273006653,-0.46678776530323174,1.0,-0.06478913756564507,-0.028684135430234983
r2,0.9425374088288555,0.19444494677696952,0.2854023087281044,0.22391425943062648,-0.06478913756564507,1.0,0.13498081860407535
pearson,-0.04202946345432235,0.5004318155969666,-0.22678891961768585,-0.08087721849686573,-0.028684135430234983,0.13498081860407535,1.0
