metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,0.5450351425352772,-0.7089184388962265,-0.6558369790347875,-0.08459270919289782,0.2802783026296869,-0.5000460988229346
ssim,0.5450351425352772,1.0,-0.7735206529706807,-0.8675760289046359,-0.013145731632958919,0.7782844728762441,0.3694276258463611
rmse,-0.7089184388962265,-0.7735206529706807,1.0,0.9645081520734751,0.12189025473111277,-0.4204402799897162,-0.09292269562799
mae,-0.6558369790347875,-0.8675760289046359,0.9645081520734751,1.0,0.013929634037409154,-0.5094965354758815,-0.18158276970971363
bias,-0.08459270919289782,-0.013145731632958919,0.12189025473111277,0.013929634037409154,1.0,0.006129364784864803,0.013710617067550859
r2,0.2802783026296869,0.7782844728762441,-0.4204402799897162,-0.5094965354758815,0.006129364784864803,1.0,0.5615030789982215
pearson,-0.5000460988229346,0.3694276258463611,-0.09292269562799,-0.18158276970971363,0.013710617067550859,0.5615030789982215,1.0
