metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,-0.4910443943931556,0.5913534773520418,0.14737504490740636,0.1376577946882132,-0.405069680544274,-0.43603197782342895
ssim,-0.4910443943931556,1.0,0.2447170514640752,0.6437963277554397,-0.40205460290602485,0.40256761611611497,0.42616622378026237
rmse,0.5913534773520418,0.2447170514640752,1.0,0.8393368629242203,-0.2504411988608707,-0.23714635651868035,-0.245611074485168
mae,0.14737504490740636,0.6437963277554397,0.8393368629242203,1.0,-0.5056412702627092,-0.1214648777206013,-0.11262365005898901
bias,0.1376577946882132,-0.40205460290602485,-0.2504411988608707,-0.5056412702627092,1.0,0.2102896649588727,0.19413724903416263
r2,-0.405069680544274,0.40256761611611497,-0.23714635651868035,-0.1214648777206013,0.2102896649588727,1.0,0.998336457163772
pearson,-0.43603197782342895,0.42616622378026237,-0.245611074485168,-0.11262365005898901,0.19413724903416263,0.998336457163772,1.0
