metric,psnr,ssim,rmse,mae,bias,r2,pearson
psnr,1.0,0.6857299075451193,-1.0,-0.9416529975646873,-0.13705327912193738,0.24706461191375678,0.19325972643795578
ssim,0.6857299075451193,1.0,-0.6857299075451193,-0.827719063765892,-0.07039006254411051,0.6682094563935022,0.6163456208997382
rmse,-1.0,-0.6857299075451193,1.0,0.9416529975646873,0.13705327912193738,-0.24706461191375678,-0.19325972643795578
mae,-0.9416529975646873,-0.827719063765892,0.9416529975646873,1.0,0.1059934793320928,-0.32424159922117995,-0.27160674387365474
bias,-0.13705327912193738,-0.07039006254411051,0.13705327912193738,0.1059934793320928,1.0,0.017453699432760393,0.01598816169516365
r2,0.24706461191375678,0.6682094563935022,-0.24706461191375678,-0.32424159922117995,0.017453699432760393,1.0,0.9403074629171702
pearson,0.19325972643795578,0.6163456208997382,-0.19325972643795578,-0.27160674387365474,0.01598816169516365,0.9403074629171702,1.0
