image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,0.0008120975689962,9.999999974752427e-07,-0.0008110975689987248
ntl_chip_Polyarnyye_Zori_195,0.0008120975689962,9.999999974752427e-07,-0.0008110975689987248
ntl_chip_Isangel_635,0.0105392131954431,0.0122180869802832,0.0016788737848401
ntl_chip_Gyegu_1068,0.0106131425127387,0.0125691061839461,0.0019559636712074002
ntl_chip_Fotadrevo_1891,0.0153526533395051,0.0174769796431064,0.0021243263036013014
ntl_chip_Los_Blancos_683,0.0114197256043553,0.0138191562145948,0.002399430610239499
ntl_chip_Dom_Pedrito_942,0.0109497318044304,0.0133596658706665,0.0024099340662361007
ntl_chip_Andribavontsona_1854,0.0175549071282148,0.0200392175465822,0.0024843104183673997
ntl_chip_Sao_Miguel_do_Araguaia_902,0.009901157580316,0.0124508878216147,0.0025497302412987
ntl_chip_Canarana_I_872,0.0102411666885018,0.0127923469990491,0.0025511803105473
