image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Segala_Mba_1911,0.0929448455572128,0.1026652604341507,0.009720414876937894
ntl_chip_Gayeri_765,0.0811503157019615,0.0889400690793991,0.0077897533774375916
ntl_chip_Akpassi_785,0.0716807767748832,0.0786472856998443,0.006966508924961104
ntl_chip_Ndele_1013,0.0695447921752929,0.0789625272154808,0.009417735040187905
ntl_chip_Dadukou_1109,0.0630180463194847,0.0699259340763092,0.006907887756824507
ntl_chip_Datori_784,0.062923178076744,0.07020965218544,0.007286474108695998
ntl_chip_Takieta_1998,0.0598166398704052,0.0666668266057968,0.006850186735391603
ntl_chip_Nang_Rong_326,0.056619893759489,0.0639556795358657,0.007335785776376703
ntl_chip_Cadale_282,0.055504385381937,0.0609038583934307,0.005399473011493704
ntl_chip_Mao_305,0.0521358512341976,0.057344414293766,0.005208563059568398
