image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,0.0008120975689962,9.999999974752427e-07,-0.0008110975689987248
ntl_chip_Polyarnyye_Zori_195,0.0008120975689962,9.999999974752427e-07,-0.0008110975689987248
ntl_chip_Douar_Ras_el_Ksar_1834,0.0097444141283631,0.0125646665692329,0.0028202524408698013
ntl_chip_Sao_Miguel_do_Araguaia_902,0.009901157580316,0.0124508878216147,0.0025497302412987
ntl_chip_Canarana_I_872,0.0102411666885018,0.0127923469990491,0.0025511803105473
ntl_chip_Krasnoarmeysk_217,0.0103116724640131,0.0134391924366354,0.003127519972622301
ntl_chip_Isangel_635,0.0105392131954431,0.0122180869802832,0.0016788737848401
ntl_chip_Gyegu_1068,0.0106131425127387,0.0125691061839461,0.0019559636712074002
ntl_chip_Dom_Pedrito_942,0.0109497318044304,0.0133596658706665,0.0024099340662361007
ntl_chip_Tinogasta_693,0.0111614950001239,0.014330974780023,0.0031694797798991012
