image_id,psnr_learned,ssim_learned,rmse_learned,mae_learned,bias_learned,r2_learned,pearson_learned,psnr_bicubic,ssim_bicubic,rmse_bicubic,mae_bicubic,bias_bicubic,r2_bicubic,pearson_bicubic
ntl_chip_Akpassi_785,22.891939163208008,0.6410674452781677,0.0716807767748832,0.052658125758171,-0.0020833958406001,0.5871844291687012,0.7666653394699097,22.08631706237793,0.4989906251430511,0.0786472856998443,0.0580221600830554,-8.554140367778018e-05,0.5030437707901001,0.7170436978340149
ntl_chip_Al_Mukalla_639,36.1128044128418,0.9313996434211732,0.0156441126018762,0.0095328260213136,1.668540789978579e-06,0.9725674390792848,0.9862520098686218,33.933326721191406,0.9048264622688292,0.0201061218976974,0.0113408360630273,4.104959953110665e-05,0.9546871781349182,0.9775879979133606
ntl_chip_Albuquerque_589,32.61017608642578,0.9452239274978638,0.0234146304428577,0.0130576314404606,-0.000778026995249,0.985457956790924,0.9927574992179872,29.879199981689453,0.9033891558647156,0.0320654921233654,0.0173241775482893,1.3179102097637951e-05,0.9727274179458618,0.9864434599876404
ntl_chip_Alfter_1247,32.07966232299805,0.923393487930298,0.024889338761568,0.0173825435340404,-0.0009743463015183,0.9697721004486084,0.9848344326019288,29.63573455810547,0.8573941588401794,0.0329770073294639,0.0229715593159198,3.243292303523049e-05,0.9469355940818788,0.9738729000091552
ntl_chip_Ambatomarina_1864,30.708818435668945,0.7629777789115906,0.0291444975882768,0.0209368616342544,-8.853249164531007e-05,0.6577522158622742,0.8111454844474792,29.766529083251957,0.6785785555839539,0.0324841476976871,0.0233078338205814,-2.1156916773179543e-05,0.5748223066329956,0.7655608057975769
ntl_chip_Ambohidanerana_1862,32.8795280456543,0.787412703037262,0.0226996671408414,0.0173236783593893,0.0001901065115816,0.6998149156570435,0.8367577195167542,31.583541870117188,0.7159963846206665,0.0263523738831281,0.0193780101835727,-3.2961132092168555e-05,0.5954338312149048,0.783399224281311
ntl_chip_Andribavontsona_1854,35.11188888549805,0.8329848647117615,0.0175549071282148,0.0135829159989953,-0.0001526490668766,0.6890410780906677,0.8302417993545532,33.962276458740234,0.778727650642395,0.0200392175465822,0.0152350030839443,2.1673655282938853e-05,0.5948017835617065,0.7831488847732544
ntl_chip_Anosiala_1888,33.75768280029297,0.8756658434867859,0.0205168481916189,0.0134974485263228,0.0001420437911292,0.9685382843017578,0.984182357788086,32.07196044921875,0.8337230086326599,0.024911418557167,0.0155103206634521,-1.446376700187102e-06,0.9536170959472656,0.976737141609192
ntl_chip_Ansfelden_721,33.514801025390625,0.9381465315818788,0.0210986640304327,0.0123597960919141,-0.0002890905598178,0.9682592749595642,0.9840763807296752,30.70326232910156,0.8852124810218811,0.0291631408035755,0.0163587462157011,4.093271854799241e-07,0.9393576979637146,0.970018744468689
ntl_chip_Aragarcas_885,38.18100738525391,0.9308086037635804,0.0123292123898863,0.0080770412459969,0.0005190911469981,0.9772113561630248,0.9886137247085572,36.067195892333984,0.910458505153656,0.0157264713197946,0.0093249343335628,-2.9668535717064515e-06,0.9629225134849548,0.9815802574157716
ntl_chip_Arambagh_1618,28.21186828613281,0.8129453063011169,0.038851261138916,0.0257114060223102,-0.0012447749031707,0.8569372296333313,0.92589271068573,27.120750427246094,0.7292231917381287,0.044051568955183,0.0298395007848739,8.25320603325963e-05,0.8160756826400757,0.9056591391563416
ntl_chip_Astrakhan_239,35.421173095703125,0.9568182229995728,0.0169407967478036,0.009314420633018,-0.0002325532695977,0.9835649728775024,0.991806983947754,32.19410705566406,0.9200336933135986,0.0245635472238063,0.012592626735568,-1.840460754465312e-06,0.9654470682144164,0.9828248023986816
ntl_chip_Awan Patti_100,35.34222412109375,0.9049798846244812,0.0170954838395118,0.012332278303802,-0.0013180968817323,0.9557957649230956,0.9778558611869812,33.55807876586914,0.8624728918075562,0.0209938064217567,0.0146954199299216,2.2762345906812698e-05,0.9333372116088868,0.9667511582374572
ntl_chip_Baixo_Guandu_905,35.75592422485352,0.9146926403045654,0.0163003038614988,0.0099713765084743,0.0002291504060849,0.9409914016723632,0.970204770565033,32.9814453125,0.8800418972969055,0.0224348604679107,0.0119496826082468,-2.977970871143043e-05,0.8882182836532593,0.9460296034812928
ntl_chip_Bamukumbit_1039,26.59644317626953,0.7449184060096741,0.0467925630509853,0.0320940539240837,-0.0002283590147271,0.7750648856163025,0.8806551098823547,25.54185104370117,0.6262769103050232,0.0528331734240055,0.0379789695143699,0.0001853723224485,0.7132410407066345,0.8482465147972107
ntl_chip_Bareilly_1663,32.73268127441406,0.8635799884796143,0.0230867061764001,0.0163566395640373,-0.0012772554764524,0.954565405845642,0.9771189093589784,31.23172378540039,0.8057542443275452,0.0274416990578174,0.0188898276537656,2.9116214136593044e-05,0.935807466506958,0.9676917791366576
ntl_chip_Barletta_1738,33.79684829711914,0.9542276859283448,0.0204245503991842,0.0106977019459009,-0.0002180939045501,0.980147123336792,0.9900745749473572,30.834259033203125,0.922208607196808,0.0287266112864017,0.0143185015767812,1.1842334060929716e-05,0.9607276320457458,0.9807726740837096
ntl_chip_Barstow_530,35.53856658935547,0.957275688648224,0.0167133603245019,0.0077238311059772,0.0001513604074716,0.9585834741592408,0.9792107939720154,32.81858825683594,0.936089277267456,0.022859489545226,0.009639136493206,-3.9572718378622085e-05,0.9225218892097472,0.962029993534088
ntl_chip_Bedourie_725,27.8669548034668,0.687849760055542,0.0404250882565975,0.0313794091343879,-0.0022964621894061,0.5385963916778564,0.7350876331329346,26.976842880249023,0.5595568418502808,0.0447874926030635,0.034693818539381,-1.490249633206986e-05,0.4336401224136352,0.672383189201355
ntl_chip_Belazao_1863,33.30400085449219,0.811252236366272,0.0216169916093349,0.0159439519047737,0.0001259594719158,0.86370450258255,0.9294429421424866,32.08125305175781,0.747668445110321,0.0248847883194684,0.0179512053728103,6.768666935386136e-06,0.8193828463554382,0.9067152738571168
ntl_chip_Beloozerskiy_192,26.19220352172852,0.8374316692352295,0.0490217693150043,0.0337402820587158,-0.0016261471901088,0.8943579792976379,0.9458417296409608,24.80886650085449,0.7497995495796204,0.0574851892888546,0.0403368584811687,-0.0001389178796671,0.8547317981719971,0.9265084266662598
ntl_chip_Bidur_1988,29.68240737915039,0.8187314867973328,0.0328002870082855,0.0233236588537693,-0.0009600791963748,0.9480098485946656,0.9737331867218018,27.942716598510746,0.7452628016471863,0.0400740057229995,0.0278647597879171,-4.0266691939905286e-05,0.9223946928977966,0.9610791802406312
ntl_chip_Bilenke_394,26.546646118164062,0.7215939164161682,0.0470616109669208,0.0369297824800014,-0.0043570385314524,0.6126701831817627,0.78485506772995,25.54259490966797,0.5742181539535522,0.0528286471962928,0.0416650064289569,-5.769747076556087e-05,0.511925220489502,0.7278629541397095
ntl_chip_Borgampad_1500,32.35309219360352,0.8453227877616882,0.0241180229932069,0.0164786614477634,-0.0002789838472381,0.9238951802253724,0.9612537026405334,30.982250213623047,0.7854295372962952,0.0282413009554147,0.0189553648233413,-1.1164867828483692e-05,0.8956485986709595,0.947124719619751
ntl_chip_Brejo_da_Madre_de_Deus_943,36.18808364868164,0.9393522143363952,0.0155091034248471,0.009479203261435,-9.927409701049328e-05,0.9673131704330444,0.9835696816444396,33.59796142578125,0.9055084586143494,0.020897626876831,0.0115865273401141,-2.117061376338825e-05,0.940653681755066,0.9708755612373352
ntl_chip_Bubanza_779,34.99365997314453,0.8658334612846375,0.0177955031394958,0.0129007939249277,-0.000286592694465,0.9538029432296752,0.976736068725586,33.335418701171875,0.819696843624115,0.021538944914937,0.0148236081004142,1.537612479296513e-05,0.9323227405548096,0.965883493423462
ntl_chip_Bucak_365,33.84380340576172,0.9431129693984984,0.020314423367381,0.0115254148840904,-0.0003986644733231,0.9502255320549012,0.974993109703064,30.91501235961914,0.8875540494918823,0.0284607727080583,0.0156082119792699,-0.0001540817465865,0.9023007750511168,0.9527959823608398
ntl_chip_Burglengenfeld_1235,32.26853561401367,0.9148773550987244,0.0243539586663246,0.0153898950666189,-0.0004573172482196,0.960360586643219,0.9800480008125304,29.625635147094727,0.8547441363334656,0.0330153778195381,0.0200823079794645,1.765720844559837e-05,0.9271515607833862,0.9641096591949464
ntl_chip_Buriti_do_Tocantins_815,35.73482131958008,0.9041239619255066,0.016339948400855,0.0102976793423295,0.0001497364137321,0.902428388595581,0.9502755999565125,32.995113372802734,0.8649114370346069,0.0223995875567197,0.0122381094843149,-1.238704498973675e-05,0.816641092300415,0.9113082885742188
ntl_chip_Buug_82,29.881778717041016,0.7470016479492188,0.0320559777319431,0.0214342847466468,-0.000712388602551,0.6653627157211304,0.8159241080284119,28.84100151062012,0.6706889867782593,0.0361366830766201,0.0242215096950531,1.95737520698458e-05,0.5747416615486145,0.7662580609321594
ntl_chip_Cadale_282,25.113439559936523,0.657365620136261,0.055504385381937,0.0425193235278129,-0.0035193422809243,0.589165210723877,0.7686672806739807,24.307090759277344,0.5114302039146423,0.0609038583934307,0.046844732016325,-7.294065289897844e-05,0.5053452253341675,0.7174889445304871
ntl_chip_Cadiz_1339,33.67826461791992,0.9587897658348083,0.0207053087651729,0.0111034708097577,-0.0005616199923679,0.9858505725860596,0.992965042591095,30.659019470214844,0.9305464625358582,0.0293120648711919,0.0150659848004579,2.919890721386764e-05,0.9716424942016602,0.9861494898796082
ntl_chip_Canarana_I_872,39.792598724365234,0.9423055648803712,0.0102411666885018,0.0068732416257262,0.0004920846549794,0.9558782577514648,0.97784161567688,37.8607292175293,0.924704611301422,0.0127923469990491,0.0078631490468978,-1.2021650036331266e-05,0.931157886981964,0.966061234474182
ntl_chip_Cantonment_108,34.89923095703125,0.9439866542816162,0.0179900228977203,0.0126921720802783,-0.0026667164638638,0.9905542731285096,0.9953988194465636,32.66412353515625,0.8975884318351746,0.0232696458697319,0.0164355169981718,3.024700708920136e-05,0.9841966032981871,0.9921429753303528
ntl_chip_Carlos_Casares_697,38.64912414550781,0.9517344832420348,0.0116822915151715,0.0065102875232696,0.0005102076102048,0.9463330507278442,0.9730339646339417,36.28261184692383,0.9344916343688964,0.0153412297368049,0.0075165517628192,-5.536192475119606e-06,0.9074510931968688,0.9546763300895692
ntl_chip_Chencha_1340,27.16399383544922,0.723497748374939,0.0438327938318252,0.0317388735711574,-0.0008167849155142,0.7404232025146484,0.8606744408607483,26.213523864746094,0.6131616830825806,0.0489015765488147,0.0358392149209976,-5.037058144807816e-06,0.676917552947998,0.8265378475189209
ntl_chip_Chengam_1585,28.79819869995117,0.7968126535415649,0.0363151952624321,0.0255993213504552,-0.0010671018389984,0.8779060244560242,0.9370826482772828,27.758981704711918,0.708899736404419,0.0409307442605495,0.028744013980031,8.786981925368309e-05,0.8448982834815979,0.920017659664154
ntl_chip_Cherutana_Tekku_1508,32.867759704589844,0.8835864067077637,0.0227304343134164,0.0162477176636457,-0.0015029482310637,0.9757290482521056,0.9878759384155272,31.20332717895508,0.8305344581604004,0.0275315549224615,0.019305745139718,3.724171983776614e-05,0.9643931984901428,0.9821986556053162
ntl_chip_Ciudad_del_Plata_608,32.99720001220703,0.9364320635795592,0.0223942026495933,0.0126917222514748,-0.0005803213571198,0.9873855710029602,0.9937132000923156,30.41107177734375,0.89726722240448,0.0301608759909868,0.0163361150771379,-1.636203523958102e-05,0.9771184921264648,0.9886230826377868
ntl_chip_Cloppenburg_1251,32.19232177734375,0.9148143529891968,0.0245685949921607,0.0141418101266026,-0.0002377344499109,0.917333960533142,0.9578644037246704,29.5874137878418,0.8587363362312317,0.0331609733402729,0.0180841647088527,-3.849073254968971e-05,0.8494013547897339,0.925761878490448
ntl_chip_Covington_418,34.86913299560547,0.9426565766334534,0.0180524699389934,0.010356830433011,-0.0003954540006816,0.9642205834388732,0.9821078777313232,31.961877822875977,0.902016580104828,0.0252291522920131,0.0136498352512717,-3.734624988283031e-05,0.930117964744568,0.9658697247505188
ntl_chip_Cuapiaxtla_de_Madero_1935,28.91883850097656,0.9011663794517516,0.0358142964541912,0.023098949342966,-0.0010637906379997,0.9429086446762084,0.971143364906311,26.370126724243164,0.8283074498176575,0.0480278059840202,0.0303711853921413,-5.484798748511821e-05,0.8973301649093628,0.9500924944877625
ntl_chip_Cunupia_380,31.83332252502441,0.9281285405158995,0.0256053414195776,0.016813475638628,-0.0010600266978144,0.985264539718628,0.9926581382751464,29.0517520904541,0.8774251937866211,0.0352704226970672,0.0226226542145013,6.429381028283387e-05,0.972040832042694,0.9861807227134703
ntl_chip_Currumbin_726,33.78932189941406,0.9511353373527528,0.0204422511160373,0.0105431526899337,-0.0002603945904411,0.9813830256462096,0.9907070398330688,31.188751220703125,0.9217634797096252,0.0275778006762266,0.0135822296142578,-3.77749529434368e-06,0.9661179184913636,0.9831429719924928
