image_id,psnr,ssim,rmse,mae,bias,r2,pearson
ntl_chip_Akpassi_785,22.08631706237793,0.4989906251430511,0.0786472856998443,0.0580221600830554,-8.554140367778018e-05,0.5030437707901001,0.7170436978340149
ntl_chip_Al_Mukalla_639,33.933326721191406,0.9048264622688292,0.0201061218976974,0.0113408360630273,4.104959953110665e-05,0.9546871781349182,0.9775879979133606
ntl_chip_Albuquerque_589,29.879199981689453,0.9033891558647156,0.0320654921233654,0.0173241775482893,1.3179102097637951e-05,0.9727274179458618,0.9864434599876404
ntl_chip_Alfter_1247,29.63573455810547,0.8573941588401794,0.0329770073294639,0.0229715593159198,3.243292303523049e-05,0.9469355940818788,0.9738729000091552
ntl_chip_Ambatomarina_1864,29.766529083251957,0.6785785555839539,0.0324841476976871,0.0233078338205814,-2.1156916773179543e-05,0.5748223066329956,0.7655608057975769
ntl_chip_Ambohidanerana_1862,31.583541870117188,0.7159963846206665,0.0263523738831281,0.0193780101835727,-3.2961132092168555e-05,0.5954338312149048,0.783399224281311
ntl_chip_Andribavontsona_1854,33.962276458740234,0.778727650642395,0.0200392175465822,0.0152350030839443,2.1673655282938853e-05,0.5948017835617065,0.7831488847732544
ntl_chip_Anosiala_1888,32.07196044921875,0.8337230086326599,0.024911418557167,0.0155103206634521,-1.446376700187102e-06,0.9536170959472656,0.976737141609192
ntl_chip_Ansfelden_721,30.70326232910156,0.8852124810218811,0.0291631408035755,0.0163587462157011,4.093271854799241e-07,0.9393576979637146,0.970018744468689
ntl_chip_Aragarcas_885,36.067195892333984,0.910458505153656,0.0157264713197946,0.0093249343335628,-2.9668535717064515e-06,0.9629225134849548,0.9815802574157716
ntl_chip_Arambagh_1618,27.120750427246094,0.7292231917381287,0.044051568955183,0.0298395007848739,8.25320603325963e-05,0.8160756826400757,0.9056591391563416
ntl_chip_Astrakhan_239,32.19410705566406,0.9200336933135986,0.0245635472238063,0.012592626735568,-1.840460754465312e-06,0.9654470682144164,0.9828248023986816
ntl_chip_Awan Patti_100,33.55807876586914,0.8624728918075562,0.0209938064217567,0.0146954199299216,2.2762345906812698e-05,0.9333372116088868,0.9667511582374572
ntl_chip_Baixo_Guandu_905,32.9814453125,0.8800418972969055,0.0224348604679107,0.0119496826082468,-2.977970871143043e-05,0.8882182836532593,0.9460296034812928
ntl_chip_Bamukumbit_1039,25.54185104370117,0.6262769103050232,0.0528331734240055,0.0379789695143699,0.0001853723224485,0.7132410407066345,0.8482465147972107
ntl_chip_Bareilly_1663,31.23172378540039,0.8057542443275452,0.0274416990578174,0.0188898276537656,2.9116214136593044e-05,0.935807466506958,0.9676917791366576
ntl_chip_Barletta_1738,30.834259033203125,0.922208607196808,0.0287266112864017,0.0143185015767812,1.1842334060929716e-05,0.9607276320457458,0.9807726740837096
ntl_chip_Barstow_530,32.81858825683594,0.936089277267456,0.022859489545226,0.009639136493206,-3.9572718378622085e-05,0.9225218892097472,0.962029993534088
ntl_chip_Bedourie_725,26.976842880249023,0.5595568418502808,0.0447874926030635,0.034693818539381,-1.490249633206986e-05,0.4336401224136352,0.672383189201355
ntl_chip_Belazao_1863,32.08125305175781,0.747668445110321,0.0248847883194684,0.0179512053728103,6.768666935386136e-06,0.8193828463554382,0.9067152738571168
ntl_chip_Beloozerskiy_192,24.80886650085449,0.7497995495796204,0.0574851892888546,0.0403368584811687,-0.0001389178796671,0.8547317981719971,0.9265084266662598
ntl_chip_Bidur_1988,27.942716598510746,0.7452628016471863,0.0400740057229995,0.0278647597879171,-4.0266691939905286e-05,0.9223946928977966,0.9610791802406312
ntl_chip_Bilenke_394,25.54259490966797,0.5742181539535522,0.0528286471962928,0.0416650064289569,-5.769747076556087e-05,0.511925220489502,0.7278629541397095
ntl_chip_Borgampad_1500,30.982250213623047,0.7854295372962952,0.0282413009554147,0.0189553648233413,-1.1164867828483692e-05,0.8956485986709595,0.947124719619751
ntl_chip_Brejo_da_Madre_de_Deus_943,33.59796142578125,0.9055084586143494,0.020897626876831,0.0115865273401141,-2.117061376338825e-05,0.940653681755066,0.9708755612373352
ntl_chip_Bubanza_779,33.335418701171875,0.819696843624115,0.021538944914937,0.0148236081004142,1.537612479296513e-05,0.9323227405548096,0.965883493423462
ntl_chip_Bucak_365,30.91501235961914,0.8875540494918823,0.0284607727080583,0.0156082119792699,-0.0001540817465865,0.9023007750511168,0.9527959823608398
ntl_chip_Burglengenfeld_1235,29.625635147094727,0.8547441363334656,0.0330153778195381,0.0200823079794645,1.765720844559837e-05,0.9271515607833862,0.9641096591949464
ntl_chip_Buriti_do_Tocantins_815,32.995113372802734,0.8649114370346069,0.0223995875567197,0.0122381094843149,-1.238704498973675e-05,0.816641092300415,0.9113082885742188
ntl_chip_Buug_82,28.84100151062012,0.6706889867782593,0.0361366830766201,0.0242215096950531,1.95737520698458e-05,0.5747416615486145,0.7662580609321594
ntl_chip_Cadale_282,24.307090759277344,0.5114302039146423,0.0609038583934307,0.046844732016325,-7.294065289897844e-05,0.5053452253341675,0.7174889445304871
ntl_chip_Cadiz_1339,30.659019470214844,0.9305464625358582,0.0293120648711919,0.0150659848004579,2.919890721386764e-05,0.9716424942016602,0.9861494898796082
ntl_chip_Canarana_I_872,37.8607292175293,0.924704611301422,0.0127923469990491,0.0078631490468978,-1.2021650036331266e-05,0.931157886981964,0.966061234474182
ntl_chip_Cantonment_108,32.66412353515625,0.8975884318351746,0.0232696458697319,0.0164355169981718,3.024700708920136e-05,0.9841966032981871,0.9921429753303528
ntl_chip_Carlos_Casares_697,36.28261184692383,0.9344916343688964,0.0153412297368049,0.0075165517628192,-5.536192475119606e-06,0.9074510931968688,0.9546763300895692
ntl_chip_Chencha_1340,26.213523864746094,0.6131616830825806,0.0489015765488147,0.0358392149209976,-5.037058144807816e-06,0.676917552947998,0.8265378475189209
ntl_chip_Chengam_1585,27.758981704711918,0.708899736404419,0.0409307442605495,0.028744013980031,8.786981925368309e-05,0.8448982834815979,0.920017659664154
ntl_chip_Cherutana_Tekku_1508,31.20332717895508,0.8305344581604004,0.0275315549224615,0.019305745139718,3.724171983776614e-05,0.9643931984901428,0.9821986556053162
ntl_chip_Ciudad_del_Plata_608,30.41107177734375,0.89726722240448,0.0301608759909868,0.0163361150771379,-1.636203523958102e-05,0.9771184921264648,0.9886230826377868
ntl_chip_Cloppenburg_1251,29.5874137878418,0.8587363362312317,0.0331609733402729,0.0180841647088527,-3.849073254968971e-05,0.8494013547897339,0.925761878490448
ntl_chip_Covington_418,31.961877822875977,0.902016580104828,0.0252291522920131,0.0136498352512717,-3.734624988283031e-05,0.930117964744568,0.9658697247505188
ntl_chip_Cuapiaxtla_de_Madero_1935,26.370126724243164,0.8283074498176575,0.0480278059840202,0.0303711853921413,-5.484798748511821e-05,0.8973301649093628,0.9500924944877625
ntl_chip_Cunupia_380,29.0517520904541,0.8774251937866211,0.0352704226970672,0.0226226542145013,6.429381028283387e-05,0.972040832042694,0.9861807227134703
ntl_chip_Currumbin_726,31.188751220703125,0.9217634797096252,0.0275778006762266,0.0135822296142578,-3.77749529434368e-06,0.9661179184913636,0.9831429719924928
ntl_chip_Cuttack_1651,30.549076080322266,0.8229262828826904,0.0296854600310325,0.0201342683285474,5.781483196187764e-06,0.9555198550224304,0.9777445793151855
ntl_chip_Dabou_1027,30.57343292236328,0.8029265403747559,0.0296023301780223,0.018193881958723,-8.029134187381715e-05,0.9176867604255676,0.9583743810653688
ntl_chip_Dadukou_1109,23.10722541809082,0.6175268888473511,0.0699259340763092,0.0460739769041538,9.579560719430448e-05,0.7261151075363159,0.8548870086669922
ntl_chip_Datori_784,23.07205390930176,0.5117056965827942,0.07020965218544,0.0521501936018466,7.219964754767716e-05,0.5773258209228516,0.7649813294410706
ntl_chip_Denan_1346,30.771923065185547,0.670537531375885,0.028933523222804,0.02253326959908,-4.378016456030309e-07,0.4363309741020202,0.6751811504364014
ntl_chip_Dhariwal_1577,33.06357955932617,0.8571561574935913,0.0222237147390842,0.0157974679023027,-0.0001207757013617,0.9252599477767944,0.9628556370735168
ntl_chip_Dire_1898,27.596742630004883,0.5718724727630615,0.0417024530470371,0.0326454825699329,3.3219694159924984e-05,0.625180721282959,0.7948555946350098
ntl_chip_Divinopolis_963,29.291316986083984,0.8760936260223389,0.0343109183013439,0.0178634524345397,8.749972039368004e-06,0.9463183879852296,0.9734333157539368
ntl_chip_Dom_Pedrito_942,37.48384475708008,0.9058496952056884,0.0133596658706665,0.0089139947667717,-5.202680767979473e-06,0.935335099697113,0.9679323434829712
ntl_chip_Douar_Ras_el_Ksar_1834,38.01670455932617,0.9441689252853394,0.0125646665692329,0.0071447915397584,2.6311194233130664e-05,0.969665229320526,0.9849929809570312
