image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Akpassi_785,0.8056221008300781,1,0.14207682013511663,1,0.006966508924961104,1,0.005364034324884401,1,-0.00199785443692232,0,0.08414065837860107,1,0.049621641635894775,1
ntl_chip_Al_Mukalla_639,2.1794776916503906,1,0.026573181152343972,1,0.0044620092958212,1,0.0018080100417137007,1,3.938105874112807e-05,1,0.017880260944366566,1,0.00866401195526123,1
ntl_chip_Albuquerque_589,2.730976104736328,1,0.04183477163314819,1,0.008650861680507702,1,0.004266546107828699,1,-0.000764847893151362,0,0.012730538845062145,1,0.006314039230346791,1
ntl_chip_Alfter_1247,2.443927764892578,1,0.06599932909011852,1,0.008087668567895903,1,0.005589015781879401,1,-0.0009419133784830695,0,0.022836506366729625,1,0.01096153259277366,1
ntl_chip_Ambatomarina_1864,0.9422893524169886,1,0.08439922332763672,1,0.0033396501094103,1,0.0023709721863270014,1,-6.737557487213053e-05,0,0.08292990922927856,1,0.045584678649902344,1
ntl_chip_Ambohidanerana_1862,1.2959861755371094,1,0.07141631841659546,1,0.0036527067422866995,1,0.002054331824183398,1,-0.00015714537948943144,0,0.10438108444213867,1,0.053358495235443115,1
ntl_chip_Andribavontsona_1854,1.1496124267578125,1,0.054257214069366455,1,0.0024843104183673997,1,0.0016520870849489992,1,-0.00013097541159366114,0,0.09423929452896118,1,0.04709291458129883,1
ntl_chip_Anosiala_1888,1.6857223510742188,1,0.04194283485412598,1,0.004394570365548103,1,0.0020128721371293,1,-0.0001405974144290129,0,0.014921188354492188,1,0.007445216178894043,1
ntl_chip_Ansfelden_721,2.811538696289066,1,0.05293405055999767,1,0.008064476773142797,1,0.003998950123786999,1,-0.0002886812326323201,0,0.02890157699584961,1,0.014057636260986217,1
ntl_chip_Aragarcas_885,2.113811492919929,1,0.020350098609924427,1,0.0033972589299083,1,0.0012478930875659006,1,-0.0005161242934263935,0,0.014288842678069957,1,0.0070334672927856445,1
ntl_chip_Arambagh_1618,1.0911178588867152,1,0.08372211456298828,1,0.005200307816267,1,0.0041280947625636985,1,-0.0011622428428381037,0,0.040861546993255615,1,0.020233571529388428,1
ntl_chip_Astrakhan_239,3.2270660400390625,1,0.03678452968597412,1,0.0076227504760027,1,0.0032782061025500003,1,-0.00023071280884323468,0,0.01811790466308605,1,0.008982181549072377,1
ntl_chip_Awan Patti_100,1.7841453552246094,1,0.04250699281692505,1,0.003898322582244901,1,0.0023631416261195998,1,-0.0012953345358254873,0,0.022458553314208762,1,0.011104702949524037,1
