metric,mean_delta,median_delta,std_delta,min_delta,max_delta,improved_count,improved_percent,n
psnr,1.7863529968261718,2.071279525756836,2.1426626493995666,-18.25751495361328,3.4259719848632812,198,99.0,200
ssim,0.05772665277123451,0.05352005362510681,0.030639119135201797,-0.0014025568962098278,0.1591111421585083,198,99.0,200
rmse,0.005852881424285674,0.00562957767397165,0.0023525940794388526,-0.0008110975689987248,0.012213509529828998,198,99.0,200
mae,0.0032537981485074845,0.003110609948635148,0.0015688520442752555,-0.0002327276015421,0.008314996957778903,198,99.0,200
bias,-0.0006361625080671331,-0.0004424236312842724,0.0006273965634169242,-0.004299341060686839,0.0003726388385984259,6,3.0,200
r2,-108052715.48903322,0.03235775232315069,1077808843.6888173,-10805271553.0,0.14451533555984497,198,99.0,200
pearson,0.02094128876924515,0.0158447623252867,0.015631555981635157,0.0,0.07045882940292358,198,99.0,200
