image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Hyeres_1392,33.73412322998047,30.308151245117188,3.4259719848632812
ntl_chip_Tiaret_1285,33.83330154418945,30.412206649780277,3.421094894409176
ntl_chip_Erzurum_377,34.699256896972656,31.3680419921875,3.3312149047851562
ntl_chip_Simav_359,33.013023376464844,29.71774101257324,3.295282363891605
ntl_chip_Mechta_Ouled_Oulha_1279,32.384864807128906,29.101119995117188,3.2837448120117188
ntl_chip_Astrakhan_239,35.421173095703125,32.19410705566406,3.2270660400390625
ntl_chip_Eqbaliyeh_1697,31.720638275146484,28.521242141723636,3.199396133422848
ntl_chip_Ksar_Belezma_1272,32.24577713012695,29.079858779907227,3.1659183502197266
ntl_chip_Serafina_Corea_854,33.3824462890625,30.258708953857425,3.1237373352050746
ntl_chip_Molinella_1727,30.92961883544922,27.827800750732425,3.1018180847167933
