image_id,learned_value,bicubic_value,delta_vs_bicubic
ntl_chip_Savissivik_1422,61.74248504638672,80.0,-18.25751495361328
ntl_chip_Polyarnyye_Zori_195,61.74248504638672,80.0,-18.25751495361328
ntl_chip_Inongo_1007,29.935590744018555,29.169340133666992,0.7662506103515625
ntl_chip_Gayeri_765,21.814189910888672,21.01804542541504,0.7961444854736328
ntl_chip_Akpassi_785,22.891939163208008,22.08631706237793,0.8056221008300781
ntl_chip_Cadale_282,25.113439559936523,24.307090759277344,0.8063488006591797
ntl_chip_Mao_305,25.65725517272949,24.83016586303711,0.8270893096923793
ntl_chip_Mosquera_1168,28.991634368896484,28.144287109375,0.8473472595214844
ntl_chip_Segala_Mba_1911,20.63548851013184,19.77152442932129,0.8639640808105504
ntl_chip_Denan_1346,31.638896942138672,30.771923065185547,0.866973876953125
